 , C00, C01, C02, C03, C04, C05, C07, C10, C11, C12, C17, C21, C23, C40, C43
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
66.09999999999999, 39.2616, 195.1199, 70.78494, 42.3964, 72.18395, 4.623247, 373.6854, 1.376606, 38.81695, 56.80472, 22.25909, 148.3681, 62.04265, 0.1061955, 1451.003
66.2, 37.15931, 185.2771, 65.80626, 40.02363, 65.94127, 4.235534, 563.7648, 1.307001, 37.24784, 54.10535, 20.51794, 141.6317, 57.67836, 0.1010188, 1481.006
66.3, 35.16958, 175.9308, 61.17775, 37.78365, 60.23847, 3.880335, 727.1512, 1.240916, 35.74217, 51.53426, 18.91298, 135.2012, 53.62107, 0.09609441, 1367.892
66.40000000000001, 33.2864, 167.0559, 56.87479, 35.66903, 55.02887, 3.554923, 833.2334, 1.178172, 34.29736, 49.08535, 17.43356, 129.0627, 49.84919, 0.09141011, 1263.417
66.5, 31.50405, 158.6288, 52.87448, 33.67276, 50.26981, 3.256801, 906.6763, 1.1186, 32.91095, 46.75281, 16.06986, 123.2028, 46.34263, 0.08695415, 1233.528
66.59999999999999, 29.81714, 150.6268, 49.15553, 31.78822, 45.92232, 2.98368, 916.5565, 1.062041, 31.58058, 44.53111, 14.81284, 117.609, 43.08274, 0.0827154, 1248.992
66.7, 28.22056, 143.0284, 45.69816, 30.00915, 41.95082, 2.733464, 862.9542, 1.008341, 30.30399, 42.41499, 13.65415, 112.2692, 40.05215, 0.07868328, 1153.598
66.8, 26.70947, 135.8133, 42.48396, 28.32964, 38.32279, 2.504231, 812.4868, 0.9573569, 29.07901, 40.39942, 12.58609, 107.1718, 37.23475, 0.07484771, 1139.988
66.90000000000001, 25.27929, 128.9622, 39.49583, 26.74413, 35.00852, 2.294222, 764.9707, 0.9089504, 27.90354, 38.47964, 11.60157, 102.3059, 34.61554, 0.07119912, 1052.919
67, 23.92569, 122.4567, 36.71788, 25.24736, 31.98088, 2.101824, 720.2335, 0.8629915, 26.77559, 36.65108, 10.69407, 97.66088, 32.18056, 0.06772839, 972.5009
67.09999999999999, 22.64457, 116.2794, 34.13531, 23.83435, 29.21507, 1.925562, 678.1127, 0.8193564, 25.69323, 34.90942, 9.857557, 93.22677, 29.91688, 0.06442684, 1000.023
67.2, 21.43205, 110.4137, 31.73439, 22.50043, 26.68847, 1.764081, 638.4551, 0.7779276, 24.65463, 33.25052, 9.086476, 88.99398, 27.81243, 0.06128623, 923.6445
67.3, 20.28445, 104.8439, 29.50234, 21.24116, 24.38037, 1.616142, 642.6971, 0.7385935, 23.65801, 31.67045, 8.37571, 84.95338, 25.85601, 0.05829872, 1152.553
67.40000000000001, 19.19831, 99.55501, 27.42728, 20.05237, 22.27188, 56.35651, 665.223, 0.7012483, 22.70168, 30.16547, 7.720543, 81.09623, 24.03721, 0.05545684, 1064.525
67.5, 18.17032, 94.53295, 25.49817, 18.93011, 20.34574, 51.63036, 636.0831, 0.6657913, 21.784, 28.732, 7.116624, 77.41421, 22.34635, 0.05275349, 983.2202
67.59999999999999, 17.19737, 89.76424, 23.70475, 17.87066, 18.58618, 47.30054, 598.8835, 0.6321272, 20.90342, 27.36665, 6.559945, 73.89936, 20.77444, 0.05018193, 908.1252
67.7, 16.27653, 85.23608, 22.03747, 16.8705, 16.97879, 43.33384, 563.8594, 0.6001652, 20.05844, 26.06619, 6.046811, 70.5441, 19.31309, 0.04773571, 838.7657
67.8, 15.40499, 80.93634, 20.48745, 15.92632, 15.51041, 39.69979, 568.1389, 0.5698193, 19.24761, 24.82752, 5.573815, 67.34118, 17.95455, 0.04540874, 774.7037
67.90000000000001, 14.58012, 76.85351, 19.04646, 15.03498, 14.16903, 36.3705, 543.6326, 0.5410077, 18.46956, 23.64771, 5.137818, 64.28368, 16.69156, 0.04319521, 715.5345
68, 13.79941, 72.97663, 17.70682, 14.19353, 12.94365, 33.32041, 511.8398, 0.5136529, 17.72296, 22.52397, 18.9689, 61.365, 15.51742, 0.04108958, 660.8844
68.09999999999999, 13.06051, 69.29533, 16.4614, 13.39917, 11.82424, 30.5261, 549.5284, 0.4876813, 17.00654, 21.45363, 17.48511, 58.57883, 14.42588, 0.03908659, 610.4083
68.2, 12.36118, 65.79972, 15.30359, 12.64926, 10.80165, 27.96613, 571.0752, 0.4630228, 16.31908, 20.43415, 33.60952, 55.91917, 13.41111, 0.03718124, 563.7874
68.3, 11.69929, 62.48045, 14.2272, 11.94133, 9.867487, 25.62084, 566.5516, 0.4396112, 15.65941, 19.46312, 30.98051, 53.38027, 12.46773, 0.03536877, 520.7273
68.40000000000001, 11.07284, 59.32862, 13.22653, 11.27302, 9.014117, 23.47224, 690.3643, 0.4173833, 15.02641, 18.53823, 28.55714, 50.95664, 11.59071, 0.03364466, 480.9559
68.5, 10.47994, 56.33579, 12.29623, 10.6421, 8.23455, 21.50381, 649.9903, 0.3962793, 14.41899, 17.65729, 26.32333, 48.64305, 10.77538, 0.03200458, 444.2222
68.59999999999999, 9.91878, 53.49393, 11.43137, 10.0465, 7.522401, 19.70047, 658.3336, 0.3762424, 13.83613, 16.81821, 24.26426, 46.4345, 10.01741, 0.03044446, 410.294
