 , C02, C03, C05, C07, C11, C13, C15, C19, C22, C28, C30, C45
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
13.5, 203.784, 49.00843, 266.1025, 1935.082, 704.5166, 822.6439, 331.5819, 1074.122, 807.3311, 1652.71, 1535.648, 1454.343
13.6, 903.0701, 46.64536, 304.8596, 1990.709, 780.1901, 773.9224, 627.477, 1283.783, 1945.498, 1731.199, 1468.726, 1588.863
13.7, 876.3676, 44.39623, 335.3819, 1990.259, 893.9573, 728.0864, 639.6428, 1503.435, 2249.944, 1729.307, 1481.894, 1509.892
13.8, 965.7432, 42.25555, 314.9843, 2019.258, 845.3047, 684.9651, 633.6105, 1615.249, 2308.443, 1647.652, 1426.127, 1489.304
13.9, 950.2569, 40.21809, 295.8272, 2063.783, 833.6945, 644.3977, 617.8623, 1536.267, 2371.241, 1544.928, 1545.932, 1458.987
14, 900.9365, 76.46371, 328.5215, 2011.87, 788.3215, 606.2329, 610.0895, 1461.148, 2273.071, 1609.002, 1478.561, 1386.472
14.1, 951.4227, 72.77682, 308.5411, 1987.233, 847.3223, 570.3284, 577.0926, 1436.703, 2229.879, 1640.779, 1414.127, 1374.942
14.2, 1142.511, 111.5834, 289.776, 1896.975, 801.2077, 536.5505, 545.8803, 1371.872, 2163.625, 1538.483, 1352.5, 1339.042
14.3, 1195.512, 106.2031, 272.1521, 1810.816, 757.6028, 504.773, 567.7784, 1466.512, 2101.258, 1613.448, 1376.683, 1411.937
14.4, 1155.365, 101.0822, 255.6001, 1796.248, 716.3711, 474.8776, 589.5187, 1413.298, 1976.387, 1565.36, 1316.688, 1476.906
14.5, 1095.399, 96.20828, 240.0547, 1728.617, 677.3834, 446.7527, 650.0202, 1382.291, 1858.937, 1476.985, 1259.308, 1489.696
14.6, 1038.545, 91.56934, 225.4548, 1650.105, 640.5175, 420.2936, 679.954, 1462.202, 1800.657, 1406.787, 1213.234, 1510.884
14.7, 1076.307, 138.1864, 226.1805, 1652.746, 605.658, 395.4015, 643.1784, 1630.09, 1693.65, 1443.422, 1316.433, 1585.867
14.8, 1020.444, 131.5234, 212.7731, 1577.858, 572.6957, 371.9836, 608.3918, 1550.383, 1662.939, 1452.513, 1259.064, 2300.606
14.9, 1148.725, 138.4251, 199.8324, 1545.626, 541.5274, 349.9527, 575.4867, 1474.573, 1719.34, 1406.21, 1204.195, 2463.446
15, 1089.104, 131.7506, 187.6788, 1475.425, 512.0554, 329.2266, 544.3613, 1402.47, 1617.165, 1318.538, 1151.718, 2378.029
15.1, 1086.736, 158.0508, 176.2643, 1408.413, 484.1873, 309.728, 594.4702, 1333.893, 1521.062, 1369.346, 1146.846, 2483.709
15.2, 1030.332, 347.7466, 188.6637, 1344.444, 457.8359, 291.3842, 690.835, 1293.592, 1430.67, 1283.973, 1239.03, 2639.965
15.3, 976.8555, 467.661, 177.1893, 1364.079, 432.9187, 274.1268, 970.9134, 1408.178, 1491.667, 1203.923, 1185.034, 2598.281
15.4, 926.1545, 445.1115, 166.4129, 1302.124, 409.3575, 257.8915, 1004.593, 1350.166, 1403.022, 1227.525, 1207.842, 2565.7
15.5, 1048.035, 423.6493, 162.6146, 1253.631, 387.0787, 242.6178, 950.259, 1292.521, 1416.483, 1150.993, 1186.113, 2987.032
15.6, 993.6393, 403.2219, 152.7245, 1253.873, 366.0124, 228.2486, 997.1602, 1229.32, 1332.306, 1079.234, 1134.423, 2980.927
15.7, 942.0673, 383.7795, 143.436, 1196.923, 346.0925, 214.7305, 968.3517, 1275.384, 1409.395, 1061.131, 1230.154, 3053.185
15.8, 893.1719, 365.2746, 138.9781, 1154.167, 327.2568, 202.013, 915.978, 1254.046, 1325.639, 1025.07, 1176.545, 2901.434
15.9, 991.9728, 347.6619, 130.5256, 1101.746, 309.4462, 190.0487, 889.0656, 1192.726, 1271.919, 961.1611, 1277.067, 2819.827
16, 953.9603, 330.8985, 122.5871, 1051.706, 292.6049, 178.7929, 859.4407, 1146.121, 1252.442, 1084.495, 1221.414, 2842.431
16.1, 968.1844, 314.9433, 116.5291, 1065.811, 276.6802, 168.2038, 817.3839, 1188.057, 1201.149, 1016.881, 1186.564, 2759.127
16.2, 926.4839, 299.7575, 109.4419, 1017.403, 261.6222, 158.2419, 879.964, 1129.964, 1146.006, 1015.244, 1155.157, 2783.086
16.3, 900.208, 285.3039, 102.7858, 1045.571, 247.3837, 148.8699, 832.3707, 1074.711, 1157.237, 962.3135, 1222.401, 2728.608
16.4, 853.4852, 271.5472, 96.53445, 1035.535, 233.9201, 140.053, 787.3516, 1026.405, 1137.811, 902.3173, 1169.13, 2592.99
16.5, 809.1875, 258.4538, 90.66332, 993.4365, 221.1892, 131.7583, 770.334, 1208.095, 1070.194, 924.3779, 1118.18, 2664.978
16.6, 767.1889, 245.9918, 85.14927, 966.9742, 209.1512, 123.9549, 728.6702, 1149.022, 1006.596, 866.7467, 1095.347, 2532.521
16.7, 727.3701, 388.4326, 79.97057, 988.0469, 197.7684, 116.6136, 726.2468, 1092.838, 958.0585, 812.7086, 1171.528, 2406.649
16.8, 712.1754, 369.7033, 75.10683, 1013.285, 187.0051, 109.7071, 735.193, 1039.401, 1092.627, 846.9207, 1161.221, 2287.032
16.9, 796.3113, 351.8771, 94.21033, 1106.612, 176.8275, 103.2096, 695.4298, 1182.98, 1027.696, 881.2379, 1160.823, 2428.279
17, 754.981, 334.9104, 152.7705, 1056.351, 167.2039, 97.09697, 657.8171, 1204.082, 986.3478, 826.2963, 1110.235, 2307.587
17.1, 798.5837, 318.7618, 143.4791, 1008.373, 158.104, 91.34634, 628.393, 1171.131, 964.3569, 774.7801, 1103.833, 2192.895
