 , C05, C07, C09, C12, C23, C30, C33, C34, C35, C54, C58, C60
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
16.3, 3139.058, 721.9307, 1892.718, 1565.501, 316.0849, 3200.152, 1231.562, 1628.603, 2003.812, 29.73911, 817.6956, 34.28513
16.4, 3141.388, 775.775, 1967.567, 1525.982, 296.4968, 3197.697, 1207.633, 1618.3, 2050.371, 27.97359, 839.3342, 32.44789
16.5, 2987.167, 1099.588, 1912.368, 1438.384, 278.1226, 3054.035, 1155.818, 1579.42, 2134.579, 26.31289, 794.6271, 30.70909
16.6, 3766.037, 1037.96, 1825.683, 1345.522, 308.796, 2962.665, 1083.839, 1484.287, 2014.076, 24.75077, 752.3013, 29.06348
16.7, 5063.655, 979.7863, 1825.396, 1450.875, 289.6596, 2933.191, 1128.145, 1394.884, 1974.896, 23.28139, 712.23, 27.50605
16.8, 5372.066, 924.8727, 1846.461, 1488.309, 271.7091, 2926.268, 1093.345, 1310.866, 1889.342, 21.89925, 674.2931, 26.03207
16.9, 5268.937, 873.0369, 1762.763, 1391.846, 254.871, 2794.8, 1025.257, 1231.909, 1822.634, 20.59916, 725.9591, 24.63708
17, 5301.874, 913.5601, 1731.523, 1479.063, 239.0764, 2768.484, 961.4089, 1220.013, 1821.625, 19.37625, 687.2909, 23.31685
17.1, 5184.004, 876.014, 1653.036, 1399.363, 224.2605, 2749.1, 1003.025, 1214.022, 1793.363, 18.22594, 833.0336, 22.06736
17.2, 5258.15, 826.9166, 1578.105, 1308.665, 210.3629, 2846.064, 1026.471, 1216.74, 1692.122, 17.14393, 788.662, 20.88483
17.3, 5020.786, 862.1317, 1590.24, 1299.852, 197.3265, 2827.47, 962.5479, 1187.46, 1596.597, 16.12614, 746.654, 19.76567
17.4, 5036.19, 868.4587, 1894.357, 1215.603, 185.0979, 2700.441, 989.0657, 1129.726, 1706.588, 15.16879, 706.8835, 18.70648
17.5, 4852.499, 1004.003, 1965.451, 1476.326, 173.6272, 2748.761, 985.5137, 1291.576, 1772.845, 14.26826, 790.8394, 17.70406
17.6, 4713.213, 1179.783, 1876.359, 2187.16, 434.0959, 2682.677, 1105.172, 1213.78, 2073.682, 13.4212, 748.7154, 16.75534
17.7, 4762.836, 1304.56, 1791.306, 2365.667, 1211.267, 2693.688, 1590.17, 1140.671, 2015.265, 12.62443, 708.835, 15.85747
17.8, 4835.686, 1231.444, 1977.607, 2263.995, 1192.478, 2572.669, 1546.638, 1071.965, 1901.498, 11.87495, 732.0273, 15.00771
17.9, 4814.315, 1162.426, 2153.824, 2147.625, 1490.585, 2650.489, 1517.473, 1090.7, 1818.169, 11.16997, 792.2742, 14.20349
18, 4756.83, 1100.084, 2173.161, 2075.099, 2120.044, 2578.938, 1455.407, 1025.004, 1855.897, 10.50685, 805.6655, 13.44236
18.1, 4709.347, 1121.215, 2091.407, 1961.521, 2346.862, 2542.933, 1586.343, 963.2646, 1877.167, 9.883088, 833.4333, 12.72202
18.2, 4653.767, 1058.375, 2042.257, 1946.312, 2398.536, 2565.407, 2196.13, 905.2444, 1812.793, 9.296361, 819.705, 12.04029
18.3, 4534.878, 999.0565, 2148.963, 1820.165, 2290.554, 2520.682, 2127.188, 1003.245, 1710.455, 8.744465, 829.9661, 11.39508
18.4, 4385.32, 943.063, 2051.553, 1928.312, 2416.879, 2435.328, 2183.977, 942.817, 1727.421, 8.225333, 785.758, 10.78445
18.5, 4290.161, 1013.525, 2074.951, 1803.331, 2323.388, 2341.354, 2047.97, 886.0284, 1945.352, 7.737021, 743.9046, 10.20654
