 , C000, C001, C003, C004, C060, C083
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted
29.57720542997357, 84.89544, 1.935389e-05, 4.939625, 26.17088, 30.65421, 24.86706
29.67712842129105, 84.18939, 1.854933e-05, 4.735301, 25.01814, 29.34891, 23.81564
29.77705141260853, 79.69779, 1.777821e-05, 5.045771, 23.91616, 28.0992, 22.80868
29.87697440392601, 75.44582, 1.703914e-05, 4.837056, 22.86273, 26.9027, 21.8443
29.97689739524349, 71.4207, 1.633081e-05, 4.636975, 21.8557, 25.75715, 20.92068
30.07682038656097, 67.61032, 1.565191e-05, 4.445169, 20.89302, 24.66038, 20.03613
30.17674337787845, 66.27625, 1.500124e-05, 4.261298, 19.97275, 23.61031, 19.18897
30.27666636919592, 62.74033, 1.437762e-05, 13.00534, 36.36009, 22.60495, 49.42417
30.3765893605134, 68.39287, 1.377993e-05, 18.11379, 34.75854, 21.6424, 89.04208
30.47651235183088, 65.28592, 1.320708e-05, 17.36452, 36.15528, 20.72084, 85.27724
30.57643534314836, 63.61387, 1.265804e-05, 16.64625, 40.82457, 19.83852, 81.67159
30.67635833446584, 60.22, 1.213183e-05, 22.6251, 39.02638, 18.99377, 78.21839
30.77628132578332, 57.00719, 1.162749e-05, 21.68923, 37.30739, 18.18499, 74.91119
30.87620431710079, 53.96579, 1.114413e-05, 20.79207, 38.4243, 17.41065, 71.74383
30.97612730841827, 51.08665, 1.068085e-05, 19.93202, 36.73183, 16.66928, 68.71039
31.07605029973575, 48.36112, 1.023683e-05, 19.10755, 35.1139, 15.95949, 65.80521
