 , C01, C07, C12, C19, C20, C21, C32, C40, C42
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
24.28131789754023, 209.7094, 98.34803, 18.36359, 104.2841, 18.9074, 50.93738, 31.91073, 94.47195, 54.61264
24.38124101646014, 213.4298, 93.64819, 17.53247, 98.87414, 18.08792, 48.61626, 30.61888, 90.42237, 52.16552
24.48116413538006, 205.6819, 89.17294, 16.73896, 108.3463, 17.30396, 46.40091, 29.37932, 98.89806, 49.82806
24.58108725429998, 198.4258, 84.91154, 15.98136, 102.7256, 16.55398, 44.28651, 28.18995, 94.65876, 47.59533
24.6810103732199, 190.0451, 86.2384, 15.25805, 100.3374, 15.8365, 46.70646, 27.04872, 99.47881, 45.46264
24.78093349213982, 184.9871, 89.31318, 14.56748, 95.13214, 15.15012, 45.79137, 27.18072, 95.21461, 43.42552
24.88085661105974, 194.6273, 85.04509, 13.90817, 90.19696, 14.49349, 43.70474, 26.64956, 91.13319, 41.47968
24.98077972997966, 195.7955, 80.98096, 30.29234, 85.5178, 13.86532, 46.26191, 32.49971, 87.22673, 39.62103
25.08070284889957, 191.4751, 94.21897, 28.92133, 88.04319, 13.26437, 44.15385, 31.18401, 83.48772, 43.34548
25.18062596781949, 183.388, 96.82159, 27.61236, 86.41553, 12.68947, 42.14184, 29.92157, 104.0494, 42.3688
25.28054908673941, 175.6424, 98.15336, 26.36264, 94.04253, 17.96034, 62.60316, 44.92263, 103.8375, 43.24569
25.38047220565933, 187.1062, 112.5283, 25.16949, 103.647, 17.18191, 59.75045, 45.5672, 99.38647, 54.10163
25.48039532457925, 180.7767, 107.1508, 24.03033, 110.1798, 18.2764, 57.02774, 43.72248, 95.12624, 65.49909
25.58031844349917, 204.0911, 116.6838, 22.94273, 104.464, 22.6807, 54.42909, 41.95245, 100.0509, 70.33887
25.68024156241909, 195.4711, 119.0628, 21.90436, 99.04474, 21.69768, 51.94886, 40.25407, 111.9885, 67.18708
